,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Monday, November 13, 2023", Western Carolina, Middle Tennessee,33,37,66,64
0,"Monday, November 13, 2023", Missouri, SIU Edwardsville,38,31,68,50
0,"Monday, November 13, 2023", Missouri St., Oral Roberts,39,27,84,69
0,"Monday, November 13, 2023", Nebraska, Rider,38,29,64,50
0,"Monday, November 13, 2023", Presbyterian, The Citadel,35,31,71,64
0,"Monday, November 13, 2023", Purdue, Xavier,37,29,83,71
0,"Tuesday, November 14, 2023", UC Davis, North Dakota St.,38,29,68,53
0,"Tuesday, November 14, 2023", Morehead St., Mercer,38,30,74,66
0,"Tuesday, November 14, 2023", Providence, Wisconsin,37,21,72,59
0,"Tuesday, November 14, 2023", Connecticut, Mississippi Valley St.,44,27,87,53
0,"Tuesday, November 14, 2023", Temple, Drexel,25,32,66,64
0,"Tuesday, November 14, 2023", Florida, Florida A&M,38,28,89,68
0,"Tuesday, November 14, 2023", George Washington, Hofstra,35,29,71,60
0,"Tuesday, November 14, 2023", Harvard, Northeastern,41,28,80,56
0,"Tuesday, November 14, 2023", Indiana St., IUPUI,48,21,96,57
0,"Tuesday, November 14, 2023", New Hampshire, Brown,43,27,82,64
0,"Tuesday, November 14, 2023", Oakland, Bowling Green,38,28,81,62
0,"Tuesday, November 14, 2023", Syracuse, Colgate,30,46,79,75
0,"Tuesday, November 14, 2023", Lipscomb, Tennessee Tech,22,40,96,65
0,"Tuesday, November 14, 2023", Virginia, North Carolina A&T,49,19,80,51
0,"Tuesday, November 14, 2023", West Virginia, Jacksonville St.,40,27,70,57
0,"Tuesday, November 14, 2023", UMass Lowell, Georgia Tech,26,23,74,71
0,"Tuesday, November 14, 2023", Howard, Boston University,23,24,64,53
0,"Tuesday, November 14, 2023", Mississippi St., North Alabama,36,28,81,54
0,"Tuesday, November 14, 2023", Colorado, Milwaukee,53,33,106,79
0,"Tuesday, November 14, 2023", Marquette, Illinois,31,36,71,64
0,"Tuesday, November 14, 2023", Lamar, UTSA,42,40,90,82
0,"Tuesday, November 14, 2023", Illinois Chicago, Loyola Chicago,37,36,72,67
0,"Tuesday, November 14, 2023", Western Kentucky, Murray St.,34,43,86,81
0,"Tuesday, November 14, 2023", Colorado St., Northern Colorado,28,41,83,64
0,"Tuesday, November 14, 2023", Northwestern, Western Michigan,35,28,63,59
0,"Tuesday, November 14, 2023", TCU, UT Rio Grande Valley,33,22,88,55
0,"Tuesday, November 14, 2023", Valparaiso, Green Bay,26,31,64,59
0,"Tuesday, November 14, 2023", DePaul, South Dakota,36,25,72,60
0,"Tuesday, November 14, 2023", Santa Clara, Stanford,46,44,89,77
0,"Tuesday, November 14, 2023", UC Irvine, USC,26,29,70,60
0,"Tuesday, November 14, 2023", Prairie View A&M, Abilene Christian,37,35,79,74
0,"Tuesday, November 14, 2023", Alabama, South Alabama,47,23,102,46
0,"Tuesday, November 14, 2023", Arkansas St., Alcorn St.,48,34,100,86
0,"Tuesday, November 14, 2023", Baylor, UMKC,51,33,99,61
0,"Tuesday, November 14, 2023", Duke, Michigan St.,20,31,74,65
0,"Tuesday, November 14, 2023", Kansas, Kentucky,48,41,89,84
0,"Tuesday, November 14, 2023", La Salle, Bucknell,33,28,69,57
0,"Tuesday, November 14, 2023", Mississippi, Detroit Mercy,34,31,70,69
0,"Tuesday, November 14, 2023", Oklahoma, Texas St.,45,22,93,54
0,"Tuesday, November 14, 2023", Penn St., Saint Francis,46,18,83,53
0,"Tuesday, November 14, 2023", Rhode Island, Wagner,37,26,69,53
0,"Tuesday, November 14, 2023", San Diego St., Long Beach St.,47,39,88,76
0,"Tuesday, November 14, 2023", Texas A&M, SMU,32,39,79,66
0,"Tuesday, November 14, 2023", Utah St., Southern Utah,46,45,93,84
0,"Wednesday, November 15, 2023", Virginia Tech, Campbell,26,16,60,44
0,"Wednesday, November 15, 2023", Seton Hall, Albany,54,39,96,71
0,"Wednesday, November 15, 2023", Boston College, Richmond,30,34,68,61
0,"Wednesday, November 15, 2023", Charlotte, Utah Valley,31,21,62,45
0,"Wednesday, November 15, 2023", Cleveland St., Canisius,35,34,71,61
0,"Wednesday, November 15, 2023", Delaware, Delaware St.,28,44,78,67
0,"Wednesday, November 15, 2023", Fairleigh Dickinson, Saint Peter's,43,34,71,70
0,"Wednesday, November 15, 2023", Louisville, Coppin St.,32,21,61,41
0,"Wednesday, November 15, 2023", VCU, Radford,33,33,73,50
0,"Wednesday, November 15, 2023", George Mason, Cornell,43,42,90,83
0,"Wednesday, November 15, 2023", Evansville, Southeast Missouri St.,28,39,76,57
0,"Wednesday, November 15, 2023", FIU, Houston Christian,30,40,83,74
0,"Wednesday, November 15, 2023", BYU, Southeastern Louisiana,52,17,105,48
0,"Wednesday, November 15, 2023", Tennessee St., Portland,28,42,75,65
0,"Wednesday, November 15, 2023", Nevada, Pacific,55,15,88,39
0,"Wednesday, November 15, 2023", Princeton, Duquesne,31,37,70,67
0,"Wednesday, November 15, 2023", Fresno St., Morgan St.,43,26,87,68
0,"Wednesday, November 15, 2023", Binghamton, Loyola MD,22,26,63,57
0,"Wednesday, November 15, 2023", Nebraska, Stony Brook,36,28,84,63
0,"Wednesday, November 15, 2023", Ohio St., Merrimack,35,29,76,52
0,"Wednesday, November 15, 2023", Rutgers, Georgetown,38,32,71,60
0,"Wednesday, November 15, 2023", Northern Arizona, Seattle,28,40,62,60
0,"Wednesday, November 15, 2023", Central Michigan, South Florida,29,31,68,63
0,"Thursday, November 16, 2023", Vermont, Charleston,27,36,73,64
0,"Thursday, November 16, 2023", St. John's, North Texas,20,30,53,52
0,"Thursday, November 16, 2023", Saint Louis, Wyoming,35,34,79,69
0,"Thursday, November 16, 2023", Dayton, LSU,32,30,70,67
0,"Thursday, November 16, 2023", Wichita St., Coastal Carolina,39,43,86,77
0,"Thursday, November 16, 2023", Air Force, Lindenwood,41,29,76,58
0,"Thursday, November 16, 2023", St. Bonaventure, Oklahoma St.,29,30,66,64
0,"Thursday, November 16, 2023", Houston, Towson,17,37,65,49
0,"Thursday, November 16, 2023", Indiana, Wright St.,54,49,89,80
0,"Thursday, November 16, 2023", Liberty, Furman,38,33,88,74
0,"Thursday, November 16, 2023", Presbyterian, North Florida,34,28,81,69
0,"Thursday, November 16, 2023", Virginia, Texas Southern,26,14,62,33
